year,title,published_at,updated_at,category,nominee,artist,workers,img,winner
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Best Country Song,Bring My Flowers Now,Tanya Tucker,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brandi%2BCarlile/Brandi%2520Carlile_1_1_1597247043.jpg?itok=5265JEVE,Yes
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Best Country Song,Girl Goin' Nowhere,Ashley McBryde,"Jeremy Bussey & Ashley McBryde, songwriters (Ashley McBryde)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ashley%2BMcBryde/Ashley%2520McBryde_1_1_1594938725.jpg?itok=wUjMc0xL,No
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Best Country Song,It All Comes Out In The Wash,Miranda Lambert,"Miranda Lambert, Hillary Lindsey, Lori McKenna & Liz Rose, songwriters (Miranda Lambert)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Miranda%2BLambert/Miranda%2520Lambert_1_1_1594893267.jpg?itok=7i4nOIkz,No
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Best Country Song,Some Of It,Eric Church,"Eric Church, Clint Daniels, Jeff Hyde & Bobby Pinson, songwriters (Eric Church)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Eric%2BChurch/Eric%2520Church_1_1_1578385050.jpg?itok=L8iXKdL8,No
2019,62nd Annual GRAMMY Awards  (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Best Country Song,Speechless,Dan + Shay,"Shay Mooney, Jordan Reynolds, Dan Smyers & Laura Veltz, songwriters (Dan + Shay)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/shay.png?itok=2Y7jXV4J,No
